picture,location_active,location_sec,active_hand_hs,secondary_hand_hs,tense_lax_active,tense_lax_sec
druzheljubnyj_frame1,,,69,,,
duhovka_frame1,,,71,71,,
durackij_frame1,,,1,1,,
durackij_frame2,,,1,1,,
durak_frame1,,,34,,,
durak_frame2,,,164,,,
durshlag_frame1,,,69,69,,
dusha_frame1,,,71,,,
dush_frame1,,,1,,,
dush_frame2,,,87,,,
dvigat'sja_frame1,,,87,87,,
dvizhenie_frame1,,,87,87,,
dvorec_frame1,,,14,14,,
dvorec_frame2,,,18,18,,
dvustvorchatyj molljusk_frame2,,,69,69,,
dyhanie_frame1,,,87,,,
dyhanie_frame2,,,87,,,
dym_frame2,,,1,1,,
dynja_frame2,,,137,137,,
dyrokol_frame1,,,68,71,,
dyshat'_frame2,,,87,87,,
dzhip_frame2,,,14,14,,
eda_frame1,,,133,,,
edinstvennyj_frame1,,,14,,,
edinstvennyj_frame2,,,14,,,
edinstvo_frame1,,,14,,,
edinstvo_frame2,,,14,,,
edva_frame1,,,14,,,
edva_frame2,,,87,,,
Egipet_frame1,,,137,,,
ehfemernyj_frame2,,,69,69,,
ehffektivnost'_frame2,,,79,,,
ehffekt_frame2,,,137,147,,
ehgoistichnyj_frame2,,,14,,,
ehgoizm_frame2,,,110,110,,
EHjfeleva bashnja_frame2,,,14,14,,
ehkologicheskij_frame1,,,69,69,,
ehkologicheskij_frame2,,,69,69,,
ehkologija_frame1,,,69,69,,
ehkologija_frame2,,,69,69,,
ehkonomika_frame1,,,21,,,
ehkonomika_frame2,,,21,,,
ehkran_frame1,,,68,68,,
ehkran_frame2,,,68,68,,
ehkskavator_frame1,,,87,69,,0
ehkskavator_frame2,,,95,69,,0
ehkskursija_frame1,,,14,14,,
ehksperiment_frame1,,,3,,,
ehkspertnyj_frame1,,,3,,,
ehkspressivnyj_frame2,,,87,87,,
ehkspress_frame1,,,144,,,
ehkspress_frame2,,,144,,,
ehkvivalentnyj_frame2,,,51,,,
ehkzamen_frame2,,,18,18,,
ehkzoticheskij_frame1,,,18,133,,
ehkzoticheskij_frame2,,,14,14,,
ehlektricheskij_frame2,,,14,71,,
ehlektrichestvo_frame1,,,14,71,,
ehlektrichestvo_frame2,,,14,71,,
ehlektrika_frame2,,,59,71,,
ehlektronika_frame1,,,110,71,,
ehlektronika_frame2,,,110,71,,
ehlektronnyj_frame2,,,59,71,,
ehmansipirovat'_frame1,,,69,69,,
ehmansipirovat'_frame2,,,69,69,,
ehmocija_frame1,,,87,87,,
ehmocija_frame2,,,87,87,,
ehmpatija_frame1,,,34,,,
ehmpatija_frame2,,,2,,,
ehntuziazm_frame1,,,158,,,
ehntuziazm_frame2,,,158,,,
ehrektil'naja disfunkcija_frame2,,,14,,,
ehrotichnyj_frame1,,,87,,,
ehrotichnyj_frame2,,,87,,,
ehrozija_frame1,,,97,71,,
ehrozija_frame2,,,133,71,,
ehskalator_frame1,,,40,,,
ehskalator_frame2,,,40,,,
EHstonija_frame2,,,3,,,
ehtika_frame1,,,110,,,
ehtika_frame2,,,110,,,
emkost' kondensatora_frame1,,,97,97,,
emkost' kondensatora_frame2,,,97,97,,
esli_frame1,,,87,,,
esli_frame2,,,87,87,,
est'_frame2,,,71,71,,0
esze net_frame2,,,144,,,
esze_frame2,,,133,,,
evrej_frame2,,,14,,,
evropa_frame1,,,87,,0,
evro_frame1,,,51,,,
ezhik_frame1,,,86,69,,
faks_frame2,,,69,69,,
fakt_frame2,,,159,,,
fara_frame1,,,1,,,
fara_frame2,,,1,,,
fartuk_frame1,,,15,15,,
fartuk_frame2,,,2,2,,
fary_frame2,,,2,2,,
fehtovanie_frame2,,,14,14,,
fejerverk_frame1,,,137,2,,
fejerverk_frame2,,,92,2,,
fen_frame2,,,52,,,
ferma_frame1,,,76,76,,
festival'_frame2,,,24,24,,
fil'm_frame1,,,51,,,
fil'tracija_frame1,,,71,71,,
fil'tr_frame2,,,85,85,,
filosofija_frame2,,,14,,,
finansirovanie_frame1,,,24,24,,
finansirovanie_frame2,,,24,24,,
firma_frame2,,,76,,,
fizkul'tura_frame1,,,1,1,,
fizkul'tura_frame2,,,1,1,,
flag_frame1,,,71,14,0,
flag_frame2,,,71,14,0,
flejta_frame1,,,167,167,,
flejta_frame2,,,137,137,,
flirtovat'_frame1,,,144,144,,
flirtovat'_frame2,,,144,144,,
flomaster_frame1,,,30,69,,
flomaster_frame2,,,30,69,,
fol_frame2,,,69,1,,
forma_frame1,,,3,3,,
forma_frame2,,,3,3,,
formirovat'_frame1,,,137,137,,
formirovat'_frame2,,,137,137,,
formula_frame1,,,144,,,
fotografija_frame1,,,100,18,,
fotokamera_frame1,,,21,21,,
francija_frame1,,,133,,,
francija_frame2,,,133,,,
funikuler_frame2,,,41,,,
futbolka_frame2,,,14,14,,
gaechnyj kljuch_frame1,,,52,14,,
gaechnyj kljuch_frame2,,,52,14,,
galaktika_frame2,,,87,87,,
galereja_frame2,,,73,73,,
galljucinirovat'_frame1,,,87,87,,
galljucinirovat'_frame2,,,87,87,,
galogennaja lampa_frame1,,,81,81,,
galogennaja lampa_frame2,,,95,95,,
galstuk babochka_frame1,,,125,125,,
galstuk babochka_frame2,,,34,34,,
galstuk_frame1,,,110,110,,
galstuk_frame2,,,110,110,,
gamak_frame2,,,72,72,,
gamburger_frame2,,,97,97,,
gandbol_frame1,,,97,,,
gandbol_frame2,,,87,,,
garantija_frame1,,,15,,,
garmoshka_frame1,,,163,163,,
gavkan'e_frame2,,,136,,,
gazeta_frame2,,,87,87,,
gel'_frame1,,,87,87,,
gel'_frame2,,,87,87,,
general_frame2,,,100,,,
genij_frame2,,,96,,,
gen_frame1,,,34,34,,
gen_frame2,,,34,34,,
geometrija_frame1,,,15,69,,
geometrija_frame2,,,19,69,,
gerb_frame1,,,78,78,,
Germanija_frame2,,,144,,,
geroj_frame2,,,2,2,,
gibkij_frame1,,,1,1,,
gibkost'_frame2,,,24,24,,
gidravlicheskij tormoz_frame2,,,1,1,,
gigantskij_frame1,,,1,,,
gigantskij_frame2,,,1,,,
gigienicheskaja prokladka_frame1,,,75,,,
gigienicheskaja prokladka_frame2,,,71,,,
gimnastika_frame2,,,75,75,,
ginekologija_frame1,,,21,21,,
gipnoz_frame2,,,87,71,,
